name,state_id,lat,lon,population,is_capital
Zimmerman,MN,45.4432986,-93.589962,5228,0
Paulden,AZ,34.8855757,-112.4682271,5231,0
Tracyton,WA,47.6089838,-122.6551426,5233,0
Salida,CO,38.5347193,-105.9989022,5236,0
Abbeville,SC,34.1781719,-82.3790148,5237,0
Iowa Falls,IA,42.5224799,-93.2513141,5238,0
Carmi,IL,38.0908796,-88.1586488,5240,0
Sawmills,NC,35.8248535,-81.4745366,5240,0
Dahlonega,GA,34.5325938,-83.98491,5242,0
Forked River,NJ,39.8398413,-74.1901399,5244,0
Scituate,MA,42.1959348,-70.725874,5245,0
Solvang,CA,34.5958201,-120.1376481,5245,0
Williamsburg,KY,36.7434169,-84.1596561,5245,0
East Moriches,NY,40.8050989,-72.7609336,5249,0
Isanti,MN,45.4902416,-93.2477276,5251,0
Chestertown,MD,39.2089986,-76.0666126,5252,0
Cherokee,IA,42.7494277,-95.551674,5253,0
Redwood Falls,MN,44.5394039,-95.1169425,5254,0
Watseka,IL,40.7761465,-87.7364218,5255,0
Vinton,IA,42.1686061,-92.0235139,5257,0
Charles Town,WV,39.2889903,-77.8597175,5259,0
Springfield,MI,42.3264298,-85.2391614,5260,0
Northwood,OH,41.607272,-83.4688204,5265,0
West Bountiful,UT,40.8938339,-111.9018828,5265,0
Glenwood,IA,41.0469437,-95.7425056,5269,0
Rothschild,WI,44.8871907,-89.6201218,5269,0
Springhill,LA,33.0059692,-93.4668396,5269,0
Bangor,PA,40.8656515,-75.2065677,5273,0
Shillington,PA,40.3078702,-75.9654896,5273,0
Clarion,PA,41.2147851,-79.3853218,5276,0
Robertsdale,AL,30.5538048,-87.7119324,5276,0
Big Flats,NY,42.1372967,-76.9369067,5277,0
Saint Paul Park,MN,44.8421887,-92.9913243,5279,0
Bliss Corner,MA,41.611771,-70.9383715,5280,0
Englewood Cliffs,NJ,40.8853773,-73.9523597,5281,0
Harvest,AL,34.8556441,-86.7508323,5281,0
Quebradillas,PR,18.473833,-66.938512,5282,0
South Haven,IN,41.5419825,-87.1372552,5282,0
New Castle,DE,39.6620572,-75.5663132,5285,0
Morris,MN,45.5860721,-95.9139406,5286,0
Woodside,CA,37.4299388,-122.2538557,5287,0
Willard,MO,37.305047,-93.4285272,5288,0
Hartsdale,NY,41.0189863,-73.7981884,5293,0
Pecan Plantation,TX,32.3604188,-97.6755816,5294,0
Sugarcreek,PA,41.4214458,-79.8811672,5294,0
Daleville,AL,31.3101719,-85.7129908,5295,0
Eureka,IL,40.7214251,-89.2728627,5295,0
Silver Springs,NV,39.4154714,-119.2246073,5296,0
Newmarket,NH,43.082864,-70.9350582,5297,0
Odessa,MO,38.9991748,-93.9535558,5300,0
Williamsville,NY,42.963947,-78.7378091,5300,0
Vail,CO,39.6402638,-106.3741955,5305,0
Centreville,IL,38.5833842,-90.125109,5309,0
Hugo,OK,34.0146074006,-95.5334651885,5310,0
McKenzie,TN,36.1325617,-88.5186636,5310,0
Eucalyptus Hills,CA,32.8797708,-116.9466942,5313,0
Yarmouth Port,MA,41.7020544,-70.249465,5320,0
Falcon Heights,MN,44.9916323,-93.166333,5321,0
De Witt,IA,41.8233618,-90.5381917,5322,0
La Habra Heights,CA,33.9608461,-117.9506186,5325,0
Rancho Calaveras,CA,38.1275,-120.8583333,5325,0
Wildwood,NJ,38.9917797,-74.8148894,5325,0
Media,PA,39.9167783,-75.387693,5327,0
Adel,GA,31.1371358,-83.4234936,5334,0
Bowling Green,MO,39.3419891,-91.1951437,5334,0
Livingston,TX,30.711029,-94.9329898,5335,0
Robbins,IL,41.6439227,-87.7036602,5337,0
Cape May Court House,NJ,39.0826135,-74.8237786,5338,0
Dayton,KY,39.1128377,-84.4727198,5338,0
Hutchins,TX,32.6493,-96.7130521,5338,0
Bessemer City,NC,35.2848579,-81.28397,5340,0
Wind Lake,WI,42.8294603,-88.1586998,5342,0
Turtle Creek,PA,40.4059022,-79.8250479,5349,0
High Springs,FL,29.8269064,-82.5967832,5350,0
Hoopeston,IL,40.4672587,-87.6683573,5351,0
Nashville,NC,35.974598,-77.9655406,5352,0
Fairport,NY,43.0986742,-77.4419378,5353,0
Ingenio,PR,18.4421686,-66.226001,5354,0
Berryville,AR,36.364792,-93.5679667,5356,0
Port Wentworth,GA,32.149092,-81.1631681,5359,0
Camilla,GA,31.2312933,-84.2104611,5360,0
Batesburg-Leesville,SC,33.9101425,-81.5373261,5362,0
Groveport,OH,39.8783971,-82.8837888,5363,0
Tucumcari,NM,35.171723,-103.7249662,5363,0
Wilton,CA,38.4118551,-121.2721709,5363,0
Windcrest,TX,29.515508,-98.3802925,5364,0
Midfield,AL,33.4614966,-86.9088808,5365,0
Old Fig Garden,CA,36.7988503,-119.8051527,5365,0
New Martinsville,WV,39.6445214,-80.8575993,5366,0
Carrizo Springs,TX,28.5219292,-99.8606107,5368,0
Waterford,WI,42.7630722,-88.2142563,5368,0
Boiling Spring Lakes,NC,34.0304501,-78.0672141,5372,0
Summit,AZ,32.0670238,-110.9514796,5372,0
Perezville,TX,26.2245173,-98.4005732,5376,0
Post,TX,33.1909283,-101.3781941,5376,0
Monticello,IN,40.7453169,-86.7647343,5378,0
New Holland,PA,40.1017643,-76.085227,5378,0
Corcoran,MN,45.0952417,-93.5474577,5379,0
Suncook,NH,43.130638,-71.4531241,5379,0
Union,KY,38.9458951,-84.680501,5379,0
Winston,OR,43.1223383,-123.4125723,5379,0
Loudon,TN,35.7328541,-84.3338113,5381,0
Palermo,CA,39.4354432,-121.5380243,5382,0
Montevideo,MN,44.942457,-95.7236371,5383,0
Colby,KS,39.3958369,-101.0523773,5387,0
Hidden Valley,IN,39.1622786,-84.8430067,5387,0
Ironwood,MI,46.4546698,-90.1710081,5387,0
Terryville,CT,41.6781533,-73.0109393,5387,0
Fox Chapel,PA,40.5134016,-79.8797728,5388,0
Islip Terrace,NY,40.7431539,-73.192615,5389,0
Nephi,UT,39.7102336,-111.8363216,5389,0
Junction City,OR,44.2192901,-123.2056484,5392,0
Nelsonville,OH,39.458681,-82.2318156,5392,0
Whiteville,NC,34.3387802,-78.7030721,5394,0
Concordia,KS,39.5708354,-97.6625396,5395,0
Doney Park,AZ,35.2686709,-111.505284,5395,0
Ripley,MS,34.7298181,-88.9506182,5395,0
Walterboro,SC,32.9051704,-80.6667688,5398,0
Webster,NY,43.2122851,-77.4299939,5399,0
Locust Grove,GA,33.3459495,-84.109083,5402,0
Highwood,IL,42.1997468,-87.8092335,5405,0
Pike Road,AL,32.2843084,-86.1030169,5406,0
Saranac Lake,NY,44.329496,-74.1312662,5406,0
Brewton,AL,31.1051779,-87.0721918,5408,0
Ballston Spa,NY,43.0009087,-73.8490111,5409,0
Luling,TX,29.6805066,-97.647498,5411,0
Paxtonia,PA,40.317311,-76.7944156,5412,0
Linton,IN,39.0347666,-87.1658458,5413,0
Manchester,WA,47.5559302,-122.5448558,5413,0
Uhrichsville,OH,40.3931218,-81.3464998,5413,0
Palmerton,PA,40.8014826,-75.6101868,5414,0
Bolivar,TN,35.2561937,-88.9878389,5417,0
South Hooksett,NH,43.0264727,-71.4353446,5418,0
Alma,AR,35.4778653,-94.2218752,5419,0
Northfield,IL,42.09975,-87.7808967,5420,0
Grosse Pointe,MI,42.3861485,-82.9118591,5421,0
Glasgow Village,MO,38.753661,-90.1984434,5429,0
Mount Carmel,TN,36.545377,-82.6609898,5429,0
Cumming,GA,34.2073196,-84.1401926,5430,0
Schuylkill Haven,PA,40.6306464,-76.171054,5437,0
Spring Hill,KS,38.7430646,-94.8255166,5437,0
Nibley,UT,41.6743765,-111.8329984,5438,0
Williamson,AZ,34.690023,-112.5410052,5438,0
Keyser,WV,39.4409277,-78.9739156,5439,0
Orange Beach,AL,30.2943681,-87.5735935,5441,0
Weldon Spring,MO,38.713386,-90.6892929,5443,0
Bluefield,VA,37.252617,-81.2712105,5444,0
Fort Washington,PA,40.1417761,-75.209065,5446,0
Los Chavez,NM,34.7248268624,-106.763316162,5446,0
Starke,FL,29.9441298,-82.1098275,5449,0
Creve Coeur,IL,40.6472603,-89.5912098,5451,0
Waimanalo,HI,21.3420696,-157.7302386,5451,0
Goshen,NY,41.4020382,-74.3243191,5454,0
Chamberlayne Heights,VA,37.6260537375,-77.4361452874,5456,0
Palmview,TX,26.233406,-98.3708503,5460,0
Edgerton,WI,42.8352836,-89.0676125,5461,0
Brush,CO,40.2588686,-103.6238367,5463,0
Delano,MN,45.0419073,-93.7891331,5464,0
El Granada,CA,37.5027185,-122.4694214,5467,0
Jordan,MN,44.6669074,-93.6269014,5470,0
Macon,MO,39.7422561,-92.4726859,5471,0
New Whiteland,IN,39.5581038,-86.0952638,5472,0
Litchfield Park,AZ,33.4933743,-112.3579364,5476,0
Plain City,UT,41.2979981,-112.0860538,5476,0
Tyrone,PA,40.6706184,-78.2386244,5477,0
Canal Fulton,OH,40.8897784,-81.597623,5479,0
Douglass Hills,KY,38.2378484,-85.5527377,5484,0
Pevely,MO,38.2833879,-90.3951204,5484,0
Saint Clair,MI,42.8208653,-82.486024,5485,0
Pelham Manor,NY,40.8953773,-73.8070778,5486,0
Fort Myers Shores,FL,26.7092357,-81.7459159,5487,0
Worland,WY,44.0169014,-107.9553721,5487,0
Elverta,CA,38.713791,-121.4627326,5492,0
Shippensburg,PA,40.0506453,-77.5202647,5492,0
Wake Village,TX,33.4267912,-94.1063014,5492,0
Hightstown,NJ,40.2695538,-74.5232089,5494,0
Holdrege,NE,40.4402885,-99.3698217,5495,0
Carterville,IL,37.7600501,-89.0772991,5496,0
Edna,TX,28.9785947,-96.6460877,5499,0
Lehighton,PA,40.8337029,-75.7138008,5500,0
Zeeland,MI,42.8125246,-86.018651,5504,0
Crossett,AR,33.1281779,-91.9612427,5507,0
Progreso,TX,26.0922991,-97.9572242,5507,0
Weiser,ID,44.2509976,-116.9693327,5507,0
Centerport,NY,40.885376,-73.3762297,5508,0
Harris Hill,NY,42.9647806,-78.6775293,5508,0
Woodland,WA,45.9045591,-122.7439912,5509,0
Williamston,NC,35.8546039,-77.0555114,5511,0
Adams,MA,42.6242495,-73.117603,5515,0
Fairview,NY,41.7237046,-73.9198589,5515,0
Durham,CA,39.6462733,-121.7999767,5518,0
Gustine,CA,37.2577171,-120.9988154,5520,0
Hamlin,NY,43.3031153,-77.9211243,5521,0
Wappingers Falls,NY,41.5964825,-73.91097,5522,0
Guadalupe,AZ,33.3708798,-111.9629216,5523,0
Old Bethpage,NY,40.7625993,-73.4531786,5523,0
Waterville,OH,41.5008859,-83.7182701,5523,0
Berlin,WI,43.9680365,-88.9434477,5524,0
Middleton,ID,43.7068282,-116.6201357,5524,0
Willow Springs,IL,41.7408652,-87.8603343,5524,0
White Hall,AR,34.2739862,-92.0909766,5526,0
